name,artist,album,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
The Hobo,Merle Haggard,My Love Affair With Trains,7gdlUP6AprajZmMOss4iFT,4,0.539,0.414,2,-12.55,1,0.0606,0.782,0.0,0.227,0.882,202.035,audio_features,7gdlUP6AprajZmMOss4iFT,spotify:track:7gdlUP6AprajZmMOss4iFT,https://api.spotify.com/v1/tracks/7gdlUP6AprajZmMOss4iFT,https://api.spotify.com/v1/audio-analysis/7gdlUP6AprajZmMOss4iFT,165773,4,country
When The Big Rigs Roll,Nev Nicholls,25 Big Trucking Hits,6wr882V6PuPxpppyELgvR5,0,0.536,0.527,4,-16.172,1,0.0776,0.644,0.00129,0.216,0.961,160.144,audio_features,6wr882V6PuPxpppyELgvR5,spotify:track:6wr882V6PuPxpppyELgvR5,https://api.spotify.com/v1/tracks/6wr882V6PuPxpppyELgvR5,https://api.spotify.com/v1/audio-analysis/6wr882V6PuPxpppyELgvR5,119333,4,country
My Heart's as Cold as an Empty Jug,Tex Ritter,Best Hits,0W7tskeq6UYXTJM7wPCoyv,0,0.591,0.187,3,-12.724,1,0.0267,0.913,7.44e-05,0.225,0.851,150.376,audio_features,0W7tskeq6UYXTJM7wPCoyv,spotify:track:0W7tskeq6UYXTJM7wPCoyv,https://api.spotify.com/v1/tracks/0W7tskeq6UYXTJM7wPCoyv,https://api.spotify.com/v1/audio-analysis/0W7tskeq6UYXTJM7wPCoyv,169561,4,country
Oranžový Expres,Greenhorns,Country Nálada 2,4L3kyTSesq4ZNYxnis3IxU,0,0.372,0.651,9,-15.389,1,0.0695,0.352,0.0387,0.259,0.963,168.78,audio_features,4L3kyTSesq4ZNYxnis3IxU,spotify:track:4L3kyTSesq4ZNYxnis3IxU,https://api.spotify.com/v1/tracks/4L3kyTSesq4ZNYxnis3IxU,https://api.spotify.com/v1/audio-analysis/4L3kyTSesq4ZNYxnis3IxU,129945,4,country
God Rest Ye Merry Gentlemen,Roger McGuinn,Merry Christmas,2FiLsvz1bxvVVSqFey759w,0,0.476,0.252,1,-11.98,0,0.0683,0.931,0.0,0.153,0.666,96.069,audio_features,2FiLsvz1bxvVVSqFey759w,spotify:track:2FiLsvz1bxvVVSqFey759w,https://api.spotify.com/v1/tracks/2FiLsvz1bxvVVSqFey759w,https://api.spotify.com/v1/audio-analysis/2FiLsvz1bxvVVSqFey759w,176933,4,country
Little Wheel,Canned Heat,"The Very Best of Canned Heat, Vol. 2",0GvDpjmgLNDwx5V4gFUbyK,2,0.669,0.456,9,-10.914,1,0.114,0.855,0.156,0.105,0.418,122.524,audio_features,0GvDpjmgLNDwx5V4gFUbyK,spotify:track:0GvDpjmgLNDwx5V4gFUbyK,https://api.spotify.com/v1/tracks/0GvDpjmgLNDwx5V4gFUbyK,https://api.spotify.com/v1/audio-analysis/0GvDpjmgLNDwx5V4gFUbyK,225400,4,country
Paper Roses,Cristy Lane,Country Classics,6fxBXalSmJiNok0bYM8hB5,14,0.524,0.442,9,-7.196,1,0.0248,0.586,0.0,0.164,0.457,105.875,audio_features,6fxBXalSmJiNok0bYM8hB5,spotify:track:6fxBXalSmJiNok0bYM8hB5,https://api.spotify.com/v1/tracks/6fxBXalSmJiNok0bYM8hB5,https://api.spotify.com/v1/audio-analysis/6fxBXalSmJiNok0bYM8hB5,175533,4,country
God Gave Noah the Rainbow Sign,The Carter Family,"Anthology, Vol. 1 (1929-1932)",6mEEV5LZwGEHvk348XHkCv,16,0.693,0.292,4,-12.72,1,0.0319,0.97,0.000203,0.132,0.78,107.68,audio_features,6mEEV5LZwGEHvk348XHkCv,spotify:track:6mEEV5LZwGEHvk348XHkCv,https://api.spotify.com/v1/tracks/6mEEV5LZwGEHvk348XHkCv,https://api.spotify.com/v1/audio-analysis/6mEEV5LZwGEHvk348XHkCv,206040,4,country
Honolulu,Kamelot,Zvláštní Svět,1JUSfsBk6UiAOdyco7WhV2,0,0.655,0.817,9,-2.893,1,0.0307,0.3,4.2e-06,0.0563,0.971,147.436,audio_features,1JUSfsBk6UiAOdyco7WhV2,spotify:track:1JUSfsBk6UiAOdyco7WhV2,https://api.spotify.com/v1/tracks/1JUSfsBk6UiAOdyco7WhV2,https://api.spotify.com/v1/audio-analysis/1JUSfsBk6UiAOdyco7WhV2,227093,4,country
Deep Sheephaven Bay,Margo,Beautiful Donegal,0Y9dSEdjuHWljFwBheKr4k,0,0.294,0.44,0,-9.611,1,0.0332,0.709,0.0,0.228,0.385,144.76,audio_features,0Y9dSEdjuHWljFwBheKr4k,spotify:track:0Y9dSEdjuHWljFwBheKr4k,https://api.spotify.com/v1/tracks/0Y9dSEdjuHWljFwBheKr4k,https://api.spotify.com/v1/audio-analysis/0Y9dSEdjuHWljFwBheKr4k,237200,3,country
